3.076923076923078204e-01,1.862745098039215730e-01,2.168674698795180766e-01,3.082822085889570518e-01,1.068249258160237358e-01,1.498257839721254259e-01,3.735498839907192559e-01,2.677848467322121451e-01,2.545454545454548523e-01,2.674418604651162545e-01,1.290322580645162365e-01,5.021216407355022504e-01
2.403846153846154188e-01,2.156862745098038769e-01,2.048192771084337560e-01,1.533742331288343724e-02,1.186943620178041447e-01,4.181184668989547382e-02,2.853828306264500903e-01,1.328320802005045209e-01,5.272727272727273373e-01,3.139534883720929703e-01,2.419354838709677491e-01,4.908062234794908774e-01
4.134615384615385469e-01,1.960784313725490446e-01,2.409638554216867734e-01,9.662576687116564145e-02,1.216617210682492400e-01,9.756097560975610095e-02,2.041763341067285298e-01,1.540389435126279238e-01,4.909090909090907395e-01,2.558139534883720478e-01,3.387096774193547599e-01,4.978783592644979161e-01
3.269230769230770939e-01,1.470588235294117696e-01,1.927710843373494076e-01,1.211656441717791355e-01,1.454005934718100579e-01,1.567944250871080025e-01,4.106728538283062613e-01,1.636784268363236095e-01,4.272727272727272485e-01,2.093023255813953321e-01,3.064516129032259784e-01,4.950495049504950451e-01
3.269230769230770939e-01,1.470588235294117696e-01,1.927710843373494076e-01,1.211656441717791355e-01,1.454005934718100579e-01,1.567944250871080025e-01,4.106728538283062613e-01,1.636784268363236095e-01,4.272727272727272485e-01,2.093023255813953321e-01,3.064516129032259784e-01,4.950495049504950451e-01
4.134615384615385469e-01,1.960784313725490446e-01,2.409638554216867734e-01,9.662576687116564145e-02,1.216617210682492400e-01,9.756097560975610095e-02,2.041763341067285298e-01,1.540389435126279238e-01,4.909090909090907395e-01,2.558139534883720478e-01,3.387096774193547599e-01,4.978783592644979161e-01
2.307692307692308376e-01,2.352941176470588203e-01,9.638554216867470381e-02,9.815950920245399003e-02,1.068249258160237358e-01,9.756097560975610095e-02,2.946635730858468416e-01,1.501831501831496496e-01,4.181818181818184321e-01,2.906976744186045569e-01,2.580645161290322509e-01,4.413012729844413284e-01
3.076923076923078204e-01,1.862745098039215730e-01,2.168674698795180766e-01,3.082822085889570518e-01,1.068249258160237358e-01,1.498257839721254259e-01,3.735498839907192559e-01,2.677848467322121451e-01,2.545454545454548523e-01,2.674418604651162545e-01,1.290322580645162365e-01,5.021216407355022504e-01
2.403846153846154188e-01,2.156862745098038769e-01,2.048192771084337560e-01,1.533742331288343724e-02,1.186943620178041447e-01,4.181184668989547382e-02,2.853828306264500903e-01,1.328320802005045209e-01,5.272727272727273373e-01,3.139534883720929703e-01,2.419354838709677491e-01,4.908062234794908774e-01
4.134615384615385469e-01,1.372549019607842979e-01,2.590361445783132543e-01,1.380368098159509213e-02,1.038575667655786405e-01,9.059233449477352429e-02,2.784222737819025406e-01,1.289762868710226940e-01,4.545454545454550299e-01,2.674418604651162545e-01,4.838709677419354982e-01,5.063649222065064182e-01
